"Group","ID","Item","Guidance","Done","Notes"
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Introduction to file-based catalogs > Guidelines","2.2.2.5.1","Immutable bundles","The general advice with Operator Lifecycle Manager (OLM) is that bundle images and their metadata should be treated as immutable. ¶ If a broken bundle has been pushed to a catalog, you must assume that at least one of your users has upgraded to that bundle. Based on that assumption, you must release another bundle with an upgrade path from the broken bundle to ensure users with the broken bundle installed receive an upgrade. OLM will not reinstall an installed bundle if the contents of that bundle are updated in the catalog. ¶ However, there are some cases where a change in the catalog metadata is preferred: ¶ Channel promotion: If you already released a bundle and later decide that you want to add it to another channel, you can add an entry for your bundle in another olm.channel blob. ¶ New upgrade paths: If you release a new 1.2.z bundle version, for example 1.2.4, but 1.3.0 is already released, you can update the catalog metadata for 1.3.0 to skip 1.2.4.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Introduction to file-based catalogs > Guidelines","2.2.2.5.2","Source control","Catalog metadata should be stored in source control and treated as the source of truth. Updates to catalog images should include the following steps: ¶ 1. Update the source-controlled catalog directory with a new commit. ¶ 2. Build and push the catalog image. Use a consistent tagging taxonomy, such as :latest or : <target_cluster_version>, so that users can receive updates to a catalog as they become available. ¶ For more information about creating file-based catalogs by using the opm CLI, see ""Creating a file-based catalog image"". ¶ Managing custom catalogs CLI tools ¶ 2.2.2.6. Automation Operator authors and catalog maintainers can automate file-based catalog maintenance with CI/CD workflows. Catalog maintainers can use GitOps automation to accomplish the following example tasks: ¶ Check that pull request (PR) authors are permitted to make the requested changes, for example by updating their package's image reference. Check that the catalog updates pass the opm validate command. ¶ Check that the updated bundle or catalog image references exist, the catalog images run successfully in a cluster, and Operators from that package can be successfully installed. Automatically merge PRs that pass the previous checks. Automatically rebuild and republish the catalog image.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.1","Bundle","In the bundle format, a bundle is a collection of an Operator CSV, manifests, and metadata. Together, they form a unique version of an Operator that can be installed onto the cluster.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.2","Bundle image","In the bundle format, a bundle image is a container image that is built from Operator manifests and that contains one bundle. Bundle images are stored and distributed by Open Container Initiative (OCI) spec container registries, such as Quay.io or DockerHub.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.3","Catalog source","A catalog source represents a store of metadata that OLM can query to discover and install Operators and their dependencies.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.4","Channel","A channel defines a stream of updates for an Operator and is used to roll out updates for subscribers. ¶ A channel defines a stream of updates for an Operator and is used to roll out updates for subscribers. The head points to the latest version of that channel. For example, a stable channel would have all stable versions of an Operator arranged from the earliest to the latest. ¶ An Operator can have several channels, and a subscription binding to a certain channel would only look for updates in that channel.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.5","Channel head","A channel head refers to the latest known update in a particular channel.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.6","Cluster service version","A cluster service version (CSV) is a YAML manifest created from Operator metadata that assists OLM in running the Operator in a cluster. It is the metadata that accompanies an Operator container image, used to populate user interfaces with information such as its logo, description, and version. ¶ It is also a source of technical information that is required to run the Operator, like the RBAC rules it requires and which custom resources (CRs) it manages or depends on.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.7","Dependency","An Operator may have a dependency on another Operator being present in the cluster. For example, the Vault Operator has a dependency on the etcd Operator for its data persistence layer. ¶ OLM resolves dependencies by ensuring that all specified versions of Operators and CRDs are installed on the cluster during the installation phase. This dependency is resolved by finding and installing an Operator in a catalog that satisfies the required CRD API, and is not related to packages or bundles.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.8","Extension","Extensions enable cluster administrators to extend capabilities for users on their OpenShift Container Platform cluster. Extensions are managed by Operator Lifecycle Manager (OLM) v1. ¶ The ClusterExtension API streamlines management of installed extensions, which includes Operators via the registry+v1 bundle format, by consolidating user-facing APIs into a single object. Administrators and SREs can use the API to automate processes and define desired states by using GitOps principles.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.9","Index image","In the bundle format, an index image refers to an image of a database (a database snapshot) that contains information about Operator bundles including CSVs and CRDs of all versions. This index can host a history of Operators on a cluster and be maintained by adding or removing Operators using the opm CLI tool.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.10","Install plan","An install plan is a calculated list of resources to be created to automatically install or upgrade a CSV.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.11","Multitenancy","A tenant in OpenShift Container Platform is a user or group of users that share common access and privileges for a set of deployed workloads, typically represented by a namespace or project. You can use tenants to provide a level of isolation between different groups or teams. ¶ When a cluster is shared by multiple users or groups, it is considered a multitenant cluster.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.12","Operator","Operators are a method of packaging, deploying, and managing a Kubernetes application. A Kubernetes application is an app that is both deployed on Kubernetes and managed using the Kubernetes APIs and kubectl or oc tooling. ¶ In Operator Lifecycle Manager (OLM) v1, the ClusterExtension API streamlines management of installed extensions, which includes Operators via the registry+v1 bundle format.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.13","Operator group","An Operator group configures all Operators deployed in the same namespace as the OperatorGroup object to watch for their CR in a list of namespaces or cluster-wide.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.14","Package","In the bundle format, a package is a directory that encloses all released history of an Operator with each version. A released version of an Operator is described in a CSV manifest alongside the CRDs.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.15","Registry","A registry is a database that stores bundle images of Operators, each with all of its latest and historical versions in all channels.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.16","Subscription","A subscription keeps CSVs up to date by tracking a channel in a package.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK GLOSSARY OF COMMON TERMS","2.3.17","Update graph","An update graph links versions of CSVs together, similar to the update graph of any other packaged software. Operators can be installed sequentially, or certain versions can be skipped. The update graph is expected to grow only at the head with newer versions being added. ¶ Also known as update edges or update paths.","",""
"UNDERSTANDING OPERATORS > OPERATOR LIFECYCLE MANAGER (OLM) > Operator Lifecycle Manager concepts and resources > OLM resources","2.4.1.2.1","Cluster service version","A cluster service version (CSV) is a YAML manifest that represents a specific version of a running Operator on your OpenShift Container Platform cluster. OLM uses CSV metadata to run Operators safely and determine how to apply upgrades when new versions are published. ¶ A CSV includes the metadata that accompanies an Operator container image, used to populate user interfaces with information such as its name, version, description, labels, repository link, and logo. ¶ A CSV is also a source of technical information required to run the Operator, such as which custom resources (CRs) it manages or depends on, RBAC rules, cluster requirements, and install strategies. This information tells OLM how to create required resources and set up the Operator as a deployment.","",""
"UNDERSTANDING OPERATORS > OPERATOR LIFECYCLE MANAGER (OLM) > Operator Lifecycle Manager concepts and resources > OLM resources > Catalog source","2.4.1.2.2.2","Catalog health requirements","Operator Lifecycle Manager (OLM) requires that all Operator catalogs in a shared global namespace are healthy. When a catalog is unhealthy, Operator installation and update operations in that namespace fail with a CatalogSourcesUnhealthy condition. ¶ Operator catalogs on a cluster are interchangeable from the perspective of installation resolution; a Subscription object might reference a specific catalog, but dependencies are resolved using all catalogs on the cluster. ¶ For example, if Catalog A is unhealthy, a subscription referencing Catalog A could resolve a dependency in Catalog B, which the cluster administrator might not have been expecting, because B normally had a lower catalog priority than A. ¶ As a cluster administrator, if you observe an unhealthy catalog and want to consider the catalog as invalid and resume Operator installations, see the ""Removing custom catalogs"" or ""Disabling the default software catalog sources"" sections for information about removing the unhealthy catalog. ¶ Removing custom catalogs ¶ Disabling the default OperatorHub catalog sources","",""
"UNDERSTANDING OPERATORS > OPERATOR LIFECYCLE MANAGER (OLM) > Operator Lifecycle Manager concepts and resources > OLM resources","2.4.1.2.3","Subscription","A subscription, defined by a Subscription object, represents an intention to install an Operator. It is the custom resource that relates an Operator to a catalog source. ¶ Subscriptions describe which channel of an Operator package to subscribe to, and whether to perform updates automatically or manually. If set to automatic, the subscription ensures Operator Lifecycle Manager (OLM) manages and upgrades the Operator to ensure that the latest version is always running in the cluster. ¶ Example Subscription object ¶ namespace: example-namespace channel: stable ¶ source: example-catalog ¶ This Subscription object defines the name and namespace of the Operator, as well as the catalog from which the Operator data can be found. The channel, such as alpha, beta, or stable, helps determine which Operator stream should be installed from the catalog source. ¶ The names of channels in a subscription can differ between Operators, but the naming scheme should follow a common convention within a given Operator. For example, channel names might follow a minor release update stream for the application provided by the Operator (1.2, 1.3) or a release frequency (stable, fast). ¶ In addition to being easily visible from the OpenShift Container Platform web console, it is possible to identify when there is a newer version of an Operator available by inspecting the status of the related subscription. The value associated with the currentCSV field is the newest version that is known to OLM, and installedCSV is the version that is installed on the cluster. ¶ Multitenancy and Operator colocation ¶ Viewing Operator subscription status by using the CLI","",""
"UNDERSTANDING OPERATORS > OPERATOR LIFECYCLE MANAGER (OLM) > Operator Lifecycle Manager concepts and resources > OLM resources","2.4.1.2.4","Install plan","An install plan, defined by an InstallPlan object, describes a set of resources that Operator Lifecycle Manager (OLM) creates to install or upgrade to a specific version of an Operator. The version is defined by a cluster service version (CSV). ¶ To install an Operator, a cluster administrator, or a user who has been granted Operator installation permissions, must first create a Subscription object. A subscription represents the intent to subscribe to a stream of available versions of an Operator from a catalog source. The subscription then creates an InstallPlan object to facilitate the installation of the resources for the Operator. ¶ The install plan must then be approved according to one of the following approval strategies: ¶ If the subscription's spec.installPlanApproval field is set to Automatic, the install plan is approved automatically. ¶ If the subscription's spec.installPlanApproval field is set to Manual, the install plan must be manually approved by a cluster administrator or user with proper permissions. ¶ After the install plan is approved, OLM creates the specified resources and installs the Operator in the namespace that is specified by the subscription. ¶ Example 2.5. Example InstallPlan object ¶ kind: InstallPlan ¶ name: install-abcde namespace: operators approval: Automatic ¶ approved: true clusterServiceVersionNames: ¶ my-operator.v1.0.1 generation: 1 status: catalogSources: [] conditions: ¶ lastTransitionTime: '2021-01-01T20:17:27Z' lastUpdateTime: '2021-01-01T20:17:27Z' status: 'True' type: Installed ¶ phase: Complete plan: ¶ resolving: my-operator.v1.0.1 resource: group: operators.coreos.com kind: ClusterServiceVersion manifest: >- name: my-operator.v1.0.1 sourceName: redhat-operators version: v1alpha1 status: Created ¶ resolving: my-operator.v1.0.1 resource: group: apiextensions.k8s.io kind: CustomResourceDefinition manifest: >- name: webservers.web.servers.org sourceName: redhat-operators version: v1beta1 status: Created ¶ resolving: my-operator.v1.0.1 resource: group: '' kind: ServiceAccount manifest: >- name: my-operator sourceName: redhat-operators version: v1 status: Created ¶ resolving: my-operator.v1.0.1 resource: group: rbac.authorization.k8s.io kind: Role manifest: >- name: my-operator.v1.0.1-my-operator-6d7cbc6f57 sourceName: redhat-operators ¶ version: v1 status: Created resolving: my-operator.v1.0.1 resource: ¶ group: rbac.authorization.k8s.io kind: RoleBinding manifest: >- name: my-operator.v1.0.1-my-operator-6d7cbc6f57 sourceName: redhat-operators version: v1 status: Created ¶ Multitenancy and Operator colocation ¶ Allowing non-cluster administrators to install Operators ¶ 2.4.1.2.5. Operator groups An Operator group defines multitenant configuration for OLM-installed Operators through an OperatorGroup resource. An Operator group selects target namespaces where the required RBAC access is generated for member Operators . ¶ The set of target namespaces is provided by a comma-delimited string stored in the olm.targetNamespaces annotation of a cluster service version (CSV). This annotation is applied to the CSV instances of member Operators and is projected into their deployments. ¶ Operator groups ¶ 2.4.1.2.6. Operator conditions Operator Lifecycle Manager (OLM) infers Operator state from Kubernetes resources, but some conditions require explicit communication. You can use the OperatorCondition custom resource definition (CRD) to tell OLM about supported conditions that affect lifecycle management. ¶ By default, the Spec.Conditions array is not present in an OperatorCondition object until it is either added by a user or as a result of custom Operator logic. ¶ Operator conditions","",""
