"Group","ID","Item","Guidance","Done","Notes"
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.12","CONFIGURING AUTOMATED UNLOCKING OF A LUKS-ENCRYPTED REMOVABLE STORAGE DEVICE","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.13","DEPLOYING HIGH-AVAILABILITY NBDE SYSTEMS                                         158","High-available NBDE using Shamir's Secret Sharing 159 ¶ Example 1: Redundancy with two Tang servers 159 ¶ Example 2: Shared secret on a Tang server and a TPM device 159","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.14","DEPLOYMENT OF VIRTUAL MACHINES IN A NBDE NETWORK                                 160","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.15","BUILDING AUTOMATICALLY-ENROLLABLE VM IMAGES FOR CLOUD ENVIRONMENTS BY USING NBDE","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.16","AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING A TRUSTEE ATTESTATION SERVER","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.17","DEPLOYING TANG AS A CONTAINER                                                    162","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . . > CONFIGURING NBDE BY USING RHEL SYSTEM ROLES                                      163","11.18.1","Using the nbde_server RHEL system role for setting up multiple Tang servers    164","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . . > CONFIGURING NBDE BY USING RHEL SYSTEM ROLES                                      163","11.18.2","Setting up Clevis clients with DHCP by using the nbde_client RHEL system role  165","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . . > CONFIGURING NBDE BY USING RHEL SYSTEM ROLES                                      163","11.18.3","Setting up static-IP Clevis clients by using the nbde_client RHEL system role  167",".C.H. .A.P. .T.E. R. .1.2...A. .U.D. .IT. .IN. .G. .T. H. .E. .S. Y. .S.T. E. .M. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.6.9. . . . . . . . . . . . .","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.1","LINUX AUDIT                                                                       169","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.2","AUDIT SYSTEM ARCHITECTURE                                                 170","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.3","CONFIGURING AUDITD FOR A SECURE ENVIRONMENT                                     171","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.4","STARTING AND CONTROLLING AUDITD                                           172","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.5","UNDERSTANDING AUDIT LOG FILES                                             173","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.6","USING AUDITCTL FOR DEFINING AND EXECUTING AUDIT RULES                     177","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.7","DEFINING PERSISTENT AUDIT RULES                                           178","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.8","PRE-CONFIGURED AUDIT RULES FILES FOR COMPLIANCE WITH STANDARDS            178","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.9","USING AUGENRULES TO DEFINE PERSISTENT RULES                               179","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.10","DISABLING AUGENRULES                                                     180","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.11","SETTING UP AUDIT TO MONITOR SOFTWARE UPDATES                                   181","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.12","MONITORING USER LOGIN TIMES WITH AUDIT                                   183","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","12.13","ADDITIONAL RESOURCES                                                     184",".C.H. .A.P. .T.E. R. .1.3...B. .L.O. .C. K. .IN. .G. .A. .N. D. . A. .L.L. O. .W. .I.N. G. . .A.P. .P.L. I.C. A. .T. I.O. .N.S. .B. .Y. U. .S. I.N. .G. .F.A. .P.O. .L.I.C. Y. .D. . . . . . . . . . . . . . . . . . . . . . . . .1.8.5. . . . . . . . . . . . .","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.1","INTRODUCTION TO FAPOLICYD                                                 185","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.2","DEPLOYING FAPOLICYD                                                       187","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.3","MARKING FILES AS TRUSTED USING AN ADDITIONAL SOURCE OF TRUST              188","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.4","ADDING CUSTOM ALLOW AND DENY RULES FOR FAPOLICYD                          189","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.5","ENABLING FAPOLICYD INTEGRITY CHECKS                                       192","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.6","TROUBLESHOOTING PROBLEMS RELATED TO FAPOLICYD                             193","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.7","PREVENTING USERS FROM EXECUTING UNTRUSTWORTHY CODE BY USING THE FAPOLICYD RHEL","SYSTEM ROLE 195","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","13.8","ADDITIONAL RESOURCES                                                      197",".C.H. .A.P. .T.E. R. .1.4. . P. .R.O. .T. E. .C.T. .IN. .G. .S. Y. .S.T. E. .M. .S. .A.G. .A. I.N. S. .T. .IN. .T. R. .U. S. .IV. .E. .U.S. B. . D. .E. V. .IC. .E. S. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.9.8. . . . . . . . . . . . .","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.1","USBGUARD                                                                  198","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.2","INSTALLING USBGUARD                                                       198","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.3","BLOCKING AND AUTHORIZING A USB DEVICE BY USING CLI                        199","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.4","PERMANENTLY BLOCKING AND AUTHORIZING A USB DEVICE                         200","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.5","CREATING A CUSTOM POLICY FOR USB DEVICES                                  201","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.6","CREATING A STRUCTURED CUSTOM POLICY FOR USB DEVICES                       202","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.7","AUTHORIZING USERS AND GROUPS TO USE THE USBGUARD IPC INTERFACE            204","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.8","LOGGING USBGUARD AUTHORIZATION EVENTS TO THE LINUX AUDIT LOG              205","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","14.9","ADDITIONAL RESOURCES                                                      206",".C.H. .A.P. .T.E. R. .1.5...C. .O. N. .F. I.G. .U. R. .IN. .G. .A. .R. .E.M. .O. .T.E. .L.O. .G. G. .I.N. G. . .S.O. .L.U. .T.I.O. N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .2.0.7. . . . . . . . . . . . .","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","15.1","THE RSYSLOG LOGGING SERVICE                                               207","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","15.2","INSTALLING RSYSLOG DOCUMENTATION                                          207","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","15.3","CONFIGURING A SERVER FOR REMOTE LOGGING OVER TCP                          208","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","15.4","CONFIGURING REMOTE LOGGING TO A SERVER OVER TCP                           210","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","15.5","CONFIGURING TLS-ENCRYPTED REMOTE LOGGING                                        211","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","15.6","CONFIGURING A SERVER FOR RECEIVING REMOTE LOGGING INFORMATION OVER UDP    215","","",""
