"Group","Item","Page","Guidance","Done","Notes"
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Configuring a SAML-Based Identity Provider in Prism Central","18","Configure a SAML-based identity provider in Prism Central. ¶ Before you begin Before you configure a SAML-based identity provider in Prism Central, consider the following points: ¶ You must download the identity provider's XML metadata file from their website and upload it to Prism Central when configuring SAML authentication. ¶ An identity provider (typically a server or other computer) is the system that provides authentication through a SAML request. There are various implementations that can provide authentication services in line with the SAML standard. ¶ You can specify other tested standard-compliant IDPs in addition to Microsoft Entra ID (formerly Azure Active Directory). For more information, see the Prism Central Release Notes. ¶ Prism Central supports SAML 2.0-compliant identity providers for authentication. To enforce additional security, you can configure multi-factor authentication (MFA) within your identity provider. When you configure MFA, the identity provider issues a SAML token after authentication, which provides single sign-on (SSO) access to Prism Central. ¶ You must configure your identity provider to return the NameID attribute in a SAML response. Prism Central uses the NameID attribute for role mapping. ¶ Prism Central only supports redirect binding for identity provider sign on URLs. You must configure and include the redirect binding in identity provider's metadata. ¶ About this task To configure a SAML-based identity provider in Prism Central, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the IdP Configuration tab. ¶ 4. Click Add Identity Provider > SAML Identity Provider. ¶ 5. In the Configure Identity Provider window, enter the following information: ¶ Configuration Name: Enter a name for the identity provider. Username Attribute: Enter a username attribute of the identity provider configuration. Email Attribute: Enter an email attribute of the identity provider configuration. Redirect URL (Optional): Enter the post-login redirection URL. This value is required for SAML ¶ integration in the following cases: ¶ The Prism Central instance is deployed behind a reverse proxy. The hostname of the Prism Central instance changes, such as during a transition from an IP address to a ¶ fully qualified domain name (FQDN). Note: Note: After configuring or updating the redirect URL, you must download the updated metadata file from the Prism Central instance and import it into your identity provider to re-establish trust. For more information on downloading metadata, see Downloading the Prism Central Metadata File on page 20. ¶ Group Attribute Name (Optional): Enter the group attribute name. Note: Ensure that the name matches the group attribute name provided in the IDP configuration. ¶ Group Attribute Delimiter (Optional): Enter a delimiter that must be used when multiple groups are selected for the group attribute. ¶ Import Metadata: Upload the metadata file that contains the identity provider information. Note: For information about configuring Entra ID integration from both Prism Central and Entra ID Administration, see KB-16526. ¶ 6. Click Save. ¶ What to do next ¶ You must download the Prism Central metadata file and configure your SAML-based identity provider to recognize Prism Central as the service provider. For more information, see Downloading the Prism Central Metadata File on page 20. ¶ By default, permissions are not granted to the SAML IDP users. To grant permissions, you must create an authorization policy. For more information, see Authorization Policies on page 53.","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Downloading the Prism Central Metadata File","20","Download the Prism Central metadata file to configure the callback URL in the SAML-based identity provider's website. ¶ About this task To download the Prism Central metadata file, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the IdP Configuration tab. ¶ 4. Select the identity provider checkbox from the list. ¶ 5. Click Actions and select Download Metadata. ¶ A metadata file that describes the Prism Central attributes is downloaded in XML format. ¶ 6. On the identity provider's website, upload the metadata file. ¶ 7. (Optional) If your identity provider asks you to manually enter the Prism Central callback URL, you can find it in ¶ the AssertionConsumerService tag with attribute Location in the downloaded XML metadata file. The following sample XML metadata file shows AssertionConsumerService tag with attribute Location: <md:AssertionConsumerService Binding=""urn:oasis:names:tc:SAML:2.0:bindings:HTTP-POST"" ¶ Location=""https://10.46.153.235:9440/api/iam/authn/callback"" index=""1"" />","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Common Access Card Authentication with Client Chain Certificate in Prism Central","20","Prism Central uses client chain certificate authentication to enable the Common Access Card (CAC) login. Client chain certificate authentication is a certificate-based authentication mechanism where the user is prompted to select a certificate for login instead of password. Client chain certificate authentication provides enhanced security by requiring users to present a digital certificate instead of a password, reducing the risk of password-based attacks. In a one-way authentication process, Prism Central presents a certificate, and the user's browser verifies it. When the client chain certificate authentication is enabled, the process becomes a two-way authentication. During authentication, Prism Central also verifies the user's identity with a valid digital certificate to ensure that only authorized users can access the cluster. A user must provide a valid certificate when accessing Prism Central. The CAC authentication has the following workflow: ¶ Certificate Installation: A user installs the certificate on their local machine. ¶ Note: The Certificate Authority (CA) must be the same for both the client chain certificate and the certificate on the local machine. ¶ Certificate Presentation and Chain Verification: When the user accesses Prism Central, the system prompts them to select their CAC certificate. Prism Central verifies the presented certificate against its trusted CA chain. The chain establishes trust by linking the client certificate to a trusted root CA. This chain verification step confirms the certificate's validity. ¶ EDIPI Extraction and Account Verification: Prism Central extracts the Electronically Data Interchange Personal Identifier (EDIPI) from the validated CAC certificate. It then queries Active Directory (AD) to verify that the user has a valid and active account associated with this EDIPI. ¶ Login: Prism Central logs in the user based on their validated certificate and verified Active Directory account. Before you configure the CAC, consider the following points: ¶ Prism Central supports AD as directory service for CAC. OpenLDAP is not supported. ¶ When you authenticate Prism Central with client chain certificate, the Subject name field must be present. The subject name should match the UserPrincipalName (UPN) in the AD. The UPN is a username with domain address. For example user1@nutanix.com. ¶ If you map a Prism role to a CAC user and not to an AD group or organizational unit to which the user belongs, specify the EDIPI UPN or UPN of that user in the role mapping. A user who presents a CAC with a valid certificate is mapped to a role and taken directly to the web console home page. The web console login page is not displayed. ¶ By default, users with an admin role can log in to the Prism Central console using CAC authentication. For other LDAP user roles, ensure the correct role mappings or role assignments are configured to enable CAC authentication. ¶ Client chain certificate must be PEM encoded. ¶ After logging in to Prism Central using CAC authentication, log out by closing your browser. For added security, consider clearing your browser's cookies. ¶ Nutanix recommends configuring a certificate revocation checking (OCSP or CRL), which IAMv2 uses to perform a secondary check, verifying certificates are not marked invalid during certificate validation. ¶ During CAC authentication, certificate checks can fail if certificates are invalid or the Online Certificate Status Protocol (OCSP) server is unreachable. As a result, the browser can show a generic error before identity and access management (IAM) processes the request.","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Configuring Common Access Card Authentication in Prism Central","21","Configure Common Access Card (CAC) authentication in Prism Central. ¶ Before you begin Ensure that port 9441 is open in your firewall. After enabling the CAC authentication, the CAC login redirects the browser to use port 9441. ¶ About this task To configure the CAC authentication in Prism Central, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, select IAM. ¶ 3. Select the IdP Configuration tab. ¶ 4. Click Add Identity Provider > Common Access Card. ¶ The Configure Client Chain Certificate window appears. ¶ 5. Click Upload and select a client chain certificate from your local machine. ¶ Note: Client chain certificate must be PEM encoded. ¶ 6. Select the Enable CAC Authentication checkbox. ¶ 7. From the Select Active Directory dropdown list, select the Active Directory. ¶ 8. Click Save.","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Enabling Certificate Revocation Checking using Online Certificate Status Protocol","22","Nutanix recommends Online Certificate Status Protocol (OCSP) as the standard method for checking certificate revocation in client chain certificate authentication. About this task To enable OCSP for client chain certificate authentication, follow these steps: Procedure ¶ 1. SSH into any of the Controller VMs (CVMs) as a nutanix user: ¶ $ ssh nutanix@cvm_ip_address ¶ 2. Set the OCSP responder URL: nutanix@cvm$ ncli authconfig set-certificate-revocation set-ocsp-responder=ocsp-url ocsp-url: Specify the location of the OCSP responder. ¶ 3. Verify that OCSP checking is enabled: nutanix@cvm$ ncli authconfig get-client-authentication-config Output: Auth Config Status: true File Name: ca.cert.pem OCSP Responder URI: http://ocsp-responder-url","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Enabling Certificate Revocation Checking using Certificate Revocation List","22","Enable the Certificate Revocation List (CRL) certificate revocation checking method. About this task ¶ Note: Nutanix recommends Online Certificate Status Protocol (OSCP) as the standard method for checking certificate revocation in client authentication. To enable certificate revocation checking using CRL for client authentication, follow these steps: ¶ Procedure ¶ 1. SSH into any of the Controller VMs (CVMs) as a nutanix user: $ ssh nutanix@cvm_ip_address ¶ 2. Specify all the CRLs required for certificate validation: nutanix@cvm$ ncli authconfig set-certificate-revocation set-crl-uri=uri-1,uri-2 / set-crl-refresh-interval=refresh-interval-in-seconds set-crl-expiration- interval=expiration-interval-in-seconds where: ¶ set-crl-refresh-interval: Specify the CRL refresh interval in seconds to periodically update the CRLs. The CRL refresh interval is common for the entire list of CRL distribution points. The default value is 86,400 seconds (1 day). ¶ set-crl-expiration-interval: Specify the duration in seconds for which the periodically updated CRLs are cached in-memory. The CRLs expire after the specified duration if a particular CRL distribution point is not reachable. The CRL expiration interval is common for the entire list of CRL distribution points. The default value is 604,800 seconds (7 days). ¶ Note: The URIs must be percent-encoded and comma-separated.","",""
"Security Management Using Prism Central > Identity Provider Configuration in Prism Central","Updating ADFS When Using SAML Authentication","23","With Nutanix IAM, to maintain compatibility with new and existing IDP/SAML authentication configurations, update your Active Directory Federated Services (ADFS) configuration - specifically the Prism Central Relying Party Trust settings. For these configurations, you are using SAML as the open standard for exchanging authentication and authorization data between ADFS as the identity provider (IDP) and Prism Central as the service provider. See the Microsoft Active Directory Federation Services documentation for details. ¶ About this task In your ADFS Server configuration, update the Prism Central Relying Party Trust settings by creating claim rules to send the selected LDAP attribute as the SAML NameID in email address format. For example, map the User Principal Name to NameID in the SAML assertion claims. As an example, this topic uses UPN as the LDAP attribute to map. You could also map the email address attribute to NameID. See the Microsoft Active Directory Federation Services documentation for details about creating a claims aware Relying Party Trust and claims rules. ¶ Procedure ¶ 1. In the Relying Party Trust for Prism Central, configure a claims issuance policy with two rules. ¶ a. One rule based on the Send LDAP Attributes as Claims template. b. One rule based on the Transform an Incoming Claim template ¶ 2. For the rule using the Send LDAP Attributes as Claims template, select the LDAP Attribute as User- Principal-Name and set Outgoing Claim Type to UPN. For User group configuration using the Send LDAP Attributes as Claims template, select the LDAP Attribute as Token-Groups - Unqualified-Names and set Outgoing Claim Type to Group. ¶ 3. For the rule using the Transform an Incoming Claim template: a. Set Incoming claim type to UPN. b. Set the Outgoing claim type to Name ID. c. Set the Outgoing name ID format to Email. d. Select Pass through all claim values.","",""
"Security Management Using Prism Central > Local User Account in Prism Central","Creating a Local User Account in Prism Central","24","You can create a local user account in Prism Central. ¶ About this task To create a local user account in Prism Central, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Identities tab. ¶ 4. Click the + Add Local User and enter the following information: ¶ First Name: Enter a first name. Last Name: Enter a last name. Email: Enter a valid user email address in the format user@domain.top-level-domain. ¶ The user and domain can contain the following characters: ¶ Letters (a-z, A-Z) Digits (0-9) Special characters: ., _, and - The top-level-domain must be two to five characters long. Username: Enter a user name. The username can contain only the following characters: ¶ Letters (a-z, A-Z) Digits (0-9) Special characters: -, _, ., and @ Non-ASCII (international) characters Password: Enter a password. Ensure that your password meets the following requirements: ¶ At least eight characters long At least one lowercase letter At least one uppercase letter At least one digit At least one special character (allowed special characters are: ""#$%&'()*+,-./:;<=>@[]^_`{|}~!\ ) At least four characters different from the old password Must not be among the last five passwords Must not have more than two consecutive occurrences of a character Must contain at least one character from each of the following four character classes: uppercase letters, ¶ lowercase letters, digits, and special characters Must not contain the words ""nutanix"", ""ntnx"", ""password"", or any simple dictionary words. Language: From the dropdown list, select the language setting for the user. For example, if you select zh-CN, the user interface displays in Simplified Chinese when the user logs in Prism Central. Turn on the User Enabled toggle to enable the login access to the local user account. ¶ 5. Click Save.","",""
"Security Management Using Prism Central > Local User Account in Prism Central","Editing a Local User Account in Prism Central","26","You can edit the local user account settings in Prism Central. About this task To edit the local user account, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Identities tab. ¶ 4. Select the checkbox associated with the local user account. ¶ 5. Select Actions > Edit. ¶ 6. In the Edit Local User window, edit the fields as needed and click Update.","",""
"Security Management Using Prism Central > Local User Account in Prism Central","Changing a Local User Account Password in Prism Central","26","You can change the local user account password in Prism Central. About this task To change the local user account password, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Identities tab. ¶ 4. Select the checkbox associated with the local user account. ¶ 5. Select Actions > Change Password. ¶ 6. In the Edit Password window, enter the following information: ¶ Password: Enter the new password. Re-Enter Password: Re-enter the new password. Ensure that your password meets the following requirements: ¶ At least eight characters long At least one lowercase letter At least one uppercase letter At least one digit At least one special character (allowed special characters are: ""#$%&'()*+,-./:;<=>@[]^_`{|}~!\ ) At least four characters different from the old password Must not be among the last five passwords Must not have more than two consecutive occurrences of a character Must contain at least one character from each of the following four character classes: uppercase letters, ¶ lowercase letters, digits, and special characters Must not contain the words ""nutanix"", ""ntnx"", ""password"", or any simple dictionary words. ¶ 7. Click Update.","",""
